============================================================
  MOTO RIDER — FULL CONTOUR
  734 points  (dx = distance from midline, dy = head-units from crown)
============================================================

  idx         dx         dy
  222    +0.9108     4.5228
  223    +0.9162     4.5015
  224    +0.9158     4.4829
  225    +0.9090     4.4677
  226    +0.8955     4.4573
  227    +0.8768     4.4532
  228    +0.8561     4.4561
  229    +0.8363     4.4656
  230    +0.8199     4.4803
  231    +0.8080     4.4986
  232    +0.8010     4.5187
  233    +0.7983     4.5396
  234    +0.7980     4.5604
  235    +0.7988     4.5810
  236    +0.7999     4.6013
  237    +0.8005     4.6213
  238    +0.8000     4.6414
  239    +0.7984     4.6616
  240    +0.7955     4.6827
  241    +0.7921     4.7051
  242    +0.7892     4.7290
  243    +0.7872     4.7538
  244    +0.7858     4.7792
  245    +0.7850     4.8045
  246    +0.7844     4.8296
  247    +0.7835     4.8544
  248    +0.7819     4.8790
  249    +0.7801     4.9036
  250    +0.7784     4.9283
  251    +0.7766     4.9530
  252    +0.7748     4.9776
  253    +0.7728     5.0023
  254    +0.7708     5.0270
  255    +0.7687     5.0517
  256    +0.7663     5.0763
  257    +0.7638     5.1010
  258    +0.7610     5.1257
  259    +0.7580     5.1503
  260    +0.7553     5.1750
  261    +0.7529     5.1997
  262    +0.7516     5.2244
  263    +0.7512     5.2490
  264    +0.7520     5.2737
  265    +0.7536     5.2984
  266    +0.7555     5.3231
  267    +0.7573     5.3477
  268    +0.7586     5.3724
  269    +0.7593     5.3971
  270    +0.7596     5.4217
  271    +0.7596     5.4464
  272    +0.7596     5.4711
  273    +0.7597     5.4958
  274    +0.7597     5.5204
  275    +0.7600     5.5451
  276    +0.7605     5.5698
  277    +0.7617     5.5944
  278    +0.7637     5.6191
  279    +0.7664     5.6438
  280    +0.7693     5.6685
  281    +0.7723     5.6931
  282    +0.7753     5.7178
  283    +0.7783     5.7425
  284    +0.7812     5.7672
  285    +0.7841     5.7918
  286    +0.7867     5.8165
  287    +0.7888     5.8412
  288    +0.7903     5.8658
  289    +0.7912     5.8905
  290    +0.7919     5.9152
  291    +0.7931     5.9399
  292    +0.7949     5.9645
  293    +0.7974     5.9892
  294    +0.8005     6.0139
  295    +0.8038     6.0386
  296    +0.8070     6.0632
  297    +0.8099     6.0879
  298    +0.8121     6.1126
  299    +0.8137     6.1372
  300    +0.8146     6.1619
  301    +0.8147     6.1866
  302    +0.8141     6.2113
  303    +0.8132     6.2359
  304    +0.8125     6.2606
  305    +0.8125     6.2853
  306    +0.8130     6.3099
  307    +0.8142     6.3346
  308    +0.8156     6.3593
  309    +0.8169     6.3840
  310    +0.8180     6.4086
  311    +0.8190     6.4333
  312    +0.8196     6.4580
  313    +0.8196     6.4827
  314    +0.8186     6.5073
  315    +0.8170     6.5320
  316    +0.8150     6.5567
  317    +0.8131     6.5813
  318    +0.8121     6.6060
  319    +0.8123     6.6308
  320    +0.8135     6.6556
  321    +0.8148     6.6804
  322    +0.8157     6.7051
  323    +0.8156     6.7296
  324    +0.8142     6.7539
  325    +0.8113     6.7779
  326    +0.8070     6.8018
  327    +0.8015     6.8256
  328    +0.7951     6.8493
  329    +0.7883     6.8731
  330    +0.7815     6.8969
  331    +0.7752     6.9209
  332    +0.7701     6.9451
  333    +0.7658     6.9696
  334    +0.7619     6.9944
  335    +0.7583     7.0193
  336    +0.7551     7.0442
  337    +0.7527     7.0690
  338    +0.7512     7.0934
  339    +0.7515     7.1175
  340    +0.7536     7.1414
  341    +0.7572     7.1653
  342    +0.7612     7.1890
  343    +0.7653     7.2127
  344    +0.7684     7.2365
  345    +0.7697     7.2605
  346    +0.7686     7.2847
  347    +0.7655     7.3092
  348    +0.7611     7.3338
  349    +0.7567     7.3585
  350    +0.7538     7.3831
  351    +0.7537     7.4074
  352    +0.7569     7.4314
  353    +0.7632     7.4552
  354    +0.7717     7.4789
  355    +0.7813     7.5027
  356    +0.7911     7.5264
  357    +0.8004     7.5503
  358    +0.8088     7.5744
  359    +0.8165     7.5988
  360    +0.8242     7.6234
  361    +0.8327     7.6481
  362    +0.8422     7.6729
  363    +0.8529     7.6977
  364    +0.8648     7.7224
  365    +0.8778     7.7470
  366    +0.8911     7.7717
  367    +0.9040     7.7968
  368    +0.9159     7.8224
  369    +0.9257     7.8484
  370    +0.9325     7.8741
  371    +0.9355     7.8989
  372    +0.9344     7.9219
  373    +0.9292     7.9424
  374    +0.9199     7.9599
  375    +0.9064     7.9741
  376    +0.8889     7.9849
  377    +0.8678     7.9926
  378    +0.8439     7.9973
  379    +0.8182     7.9995
  380    +0.7919     8.0003
  381    +0.7658     8.0003
  382    +0.7403     8.0001
  383    +0.7153     8.0002
  384    +0.6908     8.0005
  385    +0.6663     8.0012
  386    +0.6413     8.0021
  387    +0.6159     8.0029
  388    +0.5902     8.0031
  389    +0.5649     8.0020
  390    +0.5406     7.9986
  391    +0.5178     7.9925
  392    +0.4968     7.9832
  393    +0.4772     7.9711
  394    +0.4581     7.9566
  395    +0.4393     7.9403
  396    +0.4208     7.9224
  397    +0.4029     7.9034
  398    +0.3860     7.8835
  399    +0.3704     7.8633
  400    +0.3562     7.8428
  401    +0.3440     7.8222
  402    +0.3344     7.8008
  403    +0.3281     7.7785
  404    +0.3253     7.7549
  405    +0.3254     7.7304
  406    +0.3275     7.7051
  407    +0.3306     7.6798
  408    +0.3339     7.6547
  409    +0.3373     7.6298
  410    +0.3407     7.6052
  411    +0.3439     7.5806
  412    +0.3467     7.5559
  413    +0.3488     7.5312
  414    +0.3499     7.5066
  415    +0.3502     7.4819
  416    +0.3497     7.4572
  417    +0.3487     7.4325
  418    +0.3473     7.4079
  419    +0.3455     7.3832
  420    +0.3438     7.3585
  421    +0.3426     7.3338
  422    +0.3421     7.3092
  423    +0.3425     7.2845
  424    +0.3433     7.2598
  425    +0.3443     7.2352
  426    +0.3448     7.2105
  427    +0.3444     7.1858
  428    +0.3430     7.1611
  429    +0.3407     7.1365
  430    +0.3376     7.1118
  431    +0.3339     7.0871
  432    +0.3297     7.0625
  433    +0.3253     7.0378
  434    +0.3208     7.0131
  435    +0.3162     6.9884
  436    +0.3117     6.9638
  437    +0.3073     6.9391
  438    +0.3029     6.9144
  439    +0.2986     6.8897
  440    +0.2944     6.8651
  441    +0.2903     6.8404
  442    +0.2862     6.8157
  443    +0.2822     6.7911
  444    +0.2782     6.7664
  445    +0.2745     6.7417
  446    +0.2713     6.7170
  447    +0.2684     6.6924
  448    +0.2658     6.6677
  449    +0.2633     6.6430
  450    +0.2606     6.6184
  451    +0.2577     6.5937
  452    +0.2550     6.5690
  453    +0.2526     6.5443
  454    +0.2506     6.5197
  455    +0.2489     6.4950
  456    +0.2473     6.4703
  457    +0.2456     6.4456
  458    +0.2439     6.4210
  459    +0.2421     6.3963
  460    +0.2402     6.3716
  461    +0.2380     6.3470
  462    +0.2352     6.3223
  463    +0.2318     6.2976
  464    +0.2279     6.2729
  465    +0.2241     6.2483
  466    +0.2208     6.2236
  467    +0.2184     6.1989
  468    +0.2172     6.1742
  469    +0.2171     6.1496
  470    +0.2178     6.1249
  471    +0.2195     6.1002
  472    +0.2216     6.0756
  473    +0.2239     6.0509
  474    +0.2257     6.0262
  475    +0.2266     6.0015
  476    +0.2263     5.9769
  477    +0.2247     5.9522
  478    +0.2220     5.9275
  479    +0.2186     5.9029
  480    +0.2149     5.8782
  481    +0.2114     5.8535
  482    +0.2084     5.8288
  483    +0.2062     5.8042
  484    +0.2047     5.7795
  485    +0.2037     5.7548
  486    +0.2028     5.7301
  487    +0.2016     5.7055
  488    +0.1995     5.6808
  489    +0.1963     5.6561
  490    +0.1922     5.6315
  491    +0.1872     5.6068
  492    +0.1817     5.5821
  493    +0.1762     5.5574
  494    +0.1714     5.5328
  495    +0.1673     5.5081
  496    +0.1643     5.4834
  497    +0.1622     5.4588
  498    +0.1609     5.4341
  499    +0.1599     5.4094
  500    +0.1590     5.3847
  501    +0.1578     5.3601
  502    +0.1561     5.3354
  503    +0.1536     5.3107
  504    +0.1504     5.2860
  505    +0.1466     5.2614
  506    +0.1422     5.2367
  507    +0.1375     5.2120
  508    +0.1327     5.1874
  509    +0.1279     5.1627
  510    +0.1233     5.1380
  511    +0.1188     5.1133
  512    +0.1145     5.0887
  513    +0.1103     5.0640
  514    +0.1062     5.0393
  515    +0.1022     5.0146
  516    +0.0982     4.9900
  517    +0.0942     4.9653
  518    +0.0902     4.9406
  519    +0.0863     4.9160
  520    +0.0825     4.8913
  521    +0.0787     4.8666
  522    +0.0749     4.8420
  523    +0.0712     4.8174
  524    +0.0679     4.7926
  525    +0.0651     4.7673
  526    +0.0625     4.7419
  527    +0.0596     4.7166
  528    +0.0556     4.6920
  529    +0.0503     4.6685
  530    +0.0431     4.6465
  531    +0.0347     4.6258
  532    +0.0256     4.6060
  533    +0.0164     4.5867
  534    +0.0077     4.5676
  535    -0.0002     4.5482
  536    -0.0069     4.5284
  537    -0.0118     4.5075
  538    -0.0146     4.4852
  539    -0.0154     4.4615
  540    -0.0149     4.4368
  541    -0.0138     4.4114
  542    -0.0127     4.3860
  543    -0.0122     4.3608
  544    -0.0123     4.3359
  545    -0.0127     4.3112
  546    -0.0130     4.2865
  547    -0.0130     4.2618
  548    -0.0127     4.2373
  549    -0.0119     4.2131
  550    -0.0105     4.1891
  551    -0.0089     4.1653
  552    -0.0071     4.1415
  553    -0.0052     4.1178
  554    -0.0034     4.0940
  555    -0.0018     4.0701
  556    -0.0005     4.0461
  557    +0.0004     4.0218
  558    +0.0007     3.9973
  559    +0.0007     3.9726
