============================================================
  HERO FIGURE — FULL EXTRACTED DATA
  640 contour pts, 118 strokes, 80 Y-levels
============================================================

── CONTOUR ──
  idx         dx         dy
  222    +0.8380     4.0830
  223    +0.8444     4.1179
  224    +0.8524     4.1527
  225    +0.8610     4.1870
  226    +0.8693     4.2207
  227    +0.8771     4.2540
  228    +0.8843     4.2873
  229    +0.8909     4.3205
  230    +0.8972     4.3538
  231    +0.9028     4.3871
  232    +0.9079     4.4204
  233    +0.9127     4.4537
  234    +0.9173     4.4870
  235    +0.9217     4.5203
  236    +0.9258     4.5536
  237    +0.9298     4.5869
  238    +0.9334     4.6202
  239    +0.9367     4.6535
  240    +0.9393     4.6868
  241    +0.9416     4.7201
  242    +0.9434     4.7534
  243    +0.9447     4.7867
  244    +0.9457     4.8200
  245    +0.9462     4.8533
  246    +0.9462     4.8866
  247    +0.9459     4.9199
  248    +0.9450     4.9532
  249    +0.9438     4.9865
  250    +0.9421     5.0198
  251    +0.9398     5.0531
  252    +0.9366     5.0864
  253    +0.9322     5.1197
  254    +0.9265     5.1530
  255    +0.9197     5.1863
  256    +0.9118     5.2196
  257    +0.9035     5.2529
  258    +0.8954     5.2861
  259    +0.8880     5.3193
  260    +0.8813     5.3527
  261    +0.8753     5.3862
  262    +0.8707     5.4201
  263    +0.8688     5.4543
  264    +0.8700     5.4882
  265    +0.8742     5.5214
  266    +0.8807     5.5532
  267    +0.8883     5.5834
  268    +0.8952     5.6119
  269    +0.9003     5.6390
  270    +0.9038     5.6653
  271    +0.9065     5.6913
  272    +0.9088     5.7175
  273    +0.9110     5.7444
  274    +0.9126     5.7725
  275    +0.9141     5.8022
  276    +0.9168     5.8337
  277    +0.9217     5.8666
  278    +0.9292     5.9004
  279    +0.9390     5.9345
  280    +0.9503     5.9685
  281    +0.9618     6.0021
  282    +0.9720     6.0355
  283    +0.9805     6.0687
  284    +0.9878     6.1020
  285    +0.9939     6.1353
  286    +0.9989     6.1686
  287    +1.0027     6.2019
  288    +1.0050     6.2352
  289    +1.0059     6.2685
  290    +1.0058     6.3018
  291    +1.0049     6.3351
  292    +1.0036     6.3684
  293    +1.0019     6.4017
  294    +1.0002     6.4350
  295    +0.9981     6.4683
  296    +0.9954     6.5016
  297    +0.9921     6.5349
  298    +0.9884     6.5682
  299    +0.9845     6.6015
  300    +0.9804     6.6348
  301    +0.9763     6.6681
  302    +0.9723     6.7014
  303    +0.9684     6.7347
  304    +0.9645     6.7680
  305    +0.9605     6.8012
  306    +0.9565     6.8345
  307    +0.9527     6.8678
  308    +0.9491     6.9011
  309    +0.9458     6.9344
  310    +0.9427     6.9676
  311    +0.9394     7.0010
  312    +0.9359     7.0346
  313    +0.9333     7.0686
  314    +0.9329     7.1027
  315    +0.9355     7.1365
  316    +0.9412     7.1694
  317    +0.9490     7.2009
  318    +0.9575     7.2306
  319    +0.9649     7.2587
