============================================================
  BIKER GIRL — FULL EXTRACTED DATA
  639 contour, 179 strokes, 81 Y-levels
============================================================

── CONTOUR ──
  idx         dx         dy
  273    +0.8930     4.8097
  274    +0.8907     4.8443
  275    +0.8877     4.8789
  276    +0.8839     4.9135
  277    +0.8800     4.9481
  278    +0.8766     4.9827
  279    +0.8738     5.0173
  280    +0.8716     5.0519
  281    +0.8696     5.0865
  282    +0.8674     5.1211
  283    +0.8655     5.1557
  284    +0.8640     5.1903
  285    +0.8629     5.2249
  286    +0.8623     5.2595
  287    +0.8623     5.2941
  288    +0.8626     5.3287
  289    +0.8634     5.3633
  290    +0.8649     5.3979
  291    +0.8669     5.4325
  292    +0.8697     5.4671
  293    +0.8734     5.5017
  294    +0.8772     5.5363
  295    +0.8810     5.5709
  296    +0.8852     5.6055
  297    +0.8897     5.6401
  298    +0.8948     5.6747
  299    +0.9004     5.7093
  300    +0.9065     5.7439
  301    +0.9130     5.7785
  302    +0.9202     5.8131
  303    +0.9280     5.8478
  304    +0.9361     5.8824
  305    +0.9441     5.9170
  306    +0.9523     5.9516
  307    +0.9606     5.9862
  308    +0.9686     6.0208
  309    +0.9758     6.0554
  310    +0.9818     6.0900
  311    +0.9858     6.1246
  312    +0.9882     6.1592
  313    +0.9894     6.1938
  314    +0.9897     6.2284
  315    +0.9899     6.2630
  316    +0.9911     6.2976
  317    +0.9931     6.3322
  318    +0.9961     6.3668
  319    +1.0003     6.4014
  320    +1.0053     6.4360
  321    +1.0107     6.4706
  322    +1.0161     6.5052
  323    +1.0207     6.5398
  324    +1.0238     6.5744
  325    +1.0252     6.6090
  326    +1.0251     6.6436
  327    +1.0238     6.6782
  328    +1.0216     6.7128
  329    +1.0188     6.7474
  330    +1.0157     6.7820
  331    +1.0122     6.8166
  332    +1.0082     6.8512
  333    +1.0038     6.8858
  334    +0.9993     6.9204
  335    +0.9954     6.9550
  336    +0.9930     6.9896
  337    +0.9924     7.0242
  338    +0.9932     7.0588
