============================================================
  ANATOMY STUDY — FULL EXTRACTED DATA
  699 contour pts, 81 strokes, 80 Y-levels
============================================================

── CONTOUR (699 points) ──
  idx         dx         dy
  221    +1.0141     2.9452
  222    +1.0077     2.9128
  223    +0.9997     2.8815
  224    +0.9903     2.8513
  225    +0.9799     2.8223
  226    +0.9693     2.7942
  227    +0.9581     2.7664
  228    +0.9467     2.7385
  229    +0.9353     2.7100
  230    +0.9242     2.6800
  231    +0.9134     2.6481
  232    +0.9022     2.6145
  233    +0.8890     2.5804
  234    +0.8726     2.5483
  235    +0.8528     2.5206
  236    +0.8302     2.4999
  237    +0.8058     2.4878
  238    +0.7802     2.4854
  239    +0.7547     2.4928
  240    +0.7309     2.5096
  241    +0.7103     2.5345
  242    +0.6943     2.5651
  243    +0.6834     2.5986
  244    +0.6774     2.6320
  245    +0.6745     2.6634
  246    +0.6724     2.6918
  247    +0.6698     2.7174
  248    +0.6664     2.7411
  249    +0.6624     2.7642
  250    +0.6577     2.7875
  251    +0.6522     2.8118
  252    +0.6458     2.8376
  253    +0.6394     2.8655
  254    +0.6343     2.8956
  255    +0.6315     2.9277
  256    +0.6308     2.9609
  257    +0.6319     2.9946
  258    +0.6341     3.0281
  259    +0.6364     3.0613
  260    +0.6386     3.0940
  261    +0.6412     3.1266
  262    +0.6451     3.1592
  263    +0.6503     3.1918
  264    +0.6569     3.2245
  265    +0.6648     3.2571
  266    +0.6736     3.2898
  267    +0.6830     3.3224
  268    +0.6922     3.3551
  269    +0.7010     3.3878
  270    +0.7088     3.4204
  271    +0.7158     3.4529
  272    +0.7218     3.4855
  273    +0.7266     3.5186
  274    +0.7309     3.5523
  275    +0.7361     3.5864
  276    +0.7434     3.6203
  277    +0.7532     3.6529
  278    +0.7653     3.6832
  279    +0.7789     3.7104
  280    +0.7922     3.7345
  281    +0.8036     3.7562
  282    +0.8126     3.7764
  283    +0.8196     3.7960
  284    +0.8248     3.8158
  285    +0.8284     3.8368
  286    +0.8304     3.8599
  287    +0.8312     3.8859
  288    +0.8322     3.9151
  289    +0.8350     3.9469
  290    +0.8401     3.9804
  291    +0.8473     4.0146
  292    +0.8562     4.0485
  293    +0.8654     4.0817
  294    +0.8739     4.1144
  295    +0.8810     4.1470
  296    +0.8873     4.1796
  297    +0.8933     4.2122
  298    +0.8991     4.2449
  299    +0.9045     4.2776
  300    +0.9096     4.3102
  301    +0.9145     4.3429
  302    +0.9190     4.3755
  303    +0.9233     4.4082
  304    +0.9272     4.4408
  305    +0.9307     4.4735
  306    +0.9339     4.5061
  307    +0.9366     4.5388
  308    +0.9389     4.5714
  309    +0.9405     4.6041
  310    +0.9418     4.6367
  311    +0.9427     4.6694
  312    +0.9434     4.7020
  313    +0.9438     4.7347
  314    +0.9440     4.7673
  315    +0.9440     4.8000
  316    +0.9436     4.8327
  317    +0.9429     4.8653
  318    +0.9417     4.8980
  319    +0.9400     4.9306
  320    +0.9376     4.9633
  321    +0.9343     4.9959
  322    +0.9298     5.0286
  323    +0.9242     5.0612
  324    +0.9177     5.0939
  325    +0.9105     5.1265
  326    +0.9031     5.1592
  327    +0.8960     5.1918
  328    +0.8899     5.2245
  329    +0.8850     5.2571
  330    +0.8813     5.2897
  331    +0.8791     5.3227
  332    +0.8790     5.3558
  333    +0.8810     5.3889
  334    +0.8848     5.4218
  335    +0.8898     5.4539
  336    +0.8953     5.4852
  337    +0.9006     5.5155
  338    +0.9048     5.5451
  339    +0.9083     5.5743
  340    +0.9113     5.6033
  341    +0.9144     5.6324
  342    +0.9177     5.6617
  343    +0.9215     5.6916
  344    +0.9257     5.7223
  345    +0.9312     5.7540
  346    +0.9382     5.7865
  347    +0.9468     5.8194
  348    +0.9567     5.8526
  349    +0.9673     5.8857
  350    +0.9781     5.9185
  351    +0.9883     5.9511
  352    +0.9974     5.9837
  353    +1.0060     6.0163
  354    +1.0139     6.0490
  355    +1.0209     6.0816
  356    +1.0270     6.1143
  357    +1.0318     6.1469
  358    +1.0355     6.1796
  359    +1.0379     6.2122
  360    +1.0391     6.2449
  361    +1.0393     6.2776
  362    +1.0384     6.3102
  363    +1.0365     6.3429
  364    +1.0338     6.3755
  365    +1.0303     6.4082
  366    +1.0263     6.4408
  367    +1.0219     6.4735
  368    +1.0174     6.5061
  369    +1.0127     6.5388
  370    +1.0081     6.5714
  371    +1.0036     6.6041
  372    +0.9992     6.6367
  373    +0.9951     6.6694
  374    +0.9913     6.7020
  375    +0.9877     6.7347
  376    +0.9845     6.7673
  377    +0.9816     6.8000
  378    +0.9789     6.8327
  379    +0.9764     6.8653
  380    +0.9741     6.8980
  381    +0.9719     6.9306
  382    +0.9699     6.9633
  383    +0.9678     6.9959
  384    +0.9656     7.0286
  385    +0.9632     7.0612
  386    +0.9607     7.0939
  387    +0.9586     7.1265
  388    +0.9571     7.1592
  389    +0.9563     7.1918
  390    +0.9562     7.2245
  391    +0.9566     7.2571
  392    +0.9572     7.2898
  393    +0.9582     7.3224
  394    +0.9603     7.3551
  395    +0.9638     7.3878
  396    +0.9690     7.4204
  397    +0.9761     7.4531
  398    +0.9854     7.4857
  399    +0.9972     7.5184
  400    +1.0123     7.5510
  401    +1.0310     7.5837
  402    +1.0534     7.6163
  403    +1.0788     7.6488
  404    +1.1061     7.6815
  405    +1.1336     7.7146
  406    +1.1593     7.7481
  407    +1.1813     7.7821
  408    +1.1979     7.8161
  409    +1.2075     7.8494
  410    +1.2089     7.8808
  411    +1.2019     7.9096
  412    +1.1868     7.9350
  413    +1.1646     7.9564
  414    +1.1368     7.9737
